2026-05-02 13:28:44.963,WARN ,[],[],com.zaxxer.hikari.pool.HikariPool,"HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=5d18h24m42s213ms61µs)."
2026-05-02 13:28:46.669,WARN ,[],[],com.zaxxer.hikari.pool.PoolBase,"HikariPool-2 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@bd3d841 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value."
2026-05-02 13:28:46.674,WARN ,[],[],com.zaxxer.hikari.pool.PoolBase,"HikariPool-2 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7a7c1a07 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value."
2026-05-02 13:28:46.678,WARN ,[],[],com.zaxxer.hikari.pool.PoolBase,"HikariPool-2 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@10bca446 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value."
2026-05-02 13:28:46.781,WARN ,[],[],com.zaxxer.hikari.pool.PoolBase,"HikariPool-2 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@53867c0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value."
2026-05-02 13:28:46.785,WARN ,[],[],com.zaxxer.hikari.pool.PoolBase,"HikariPool-2 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7680e901 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value."
2026-05-02 13:28:46.788,WARN ,[],[],com.zaxxer.hikari.pool.PoolBase,"HikariPool-2 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6c3669f4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value."
2026-05-02 13:28:46.791,WARN ,[],[],com.zaxxer.hikari.pool.PoolBase,"HikariPool-2 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@195d6ea0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value."
2026-05-02 13:28:46.795,WARN ,[],[],com.zaxxer.hikari.pool.PoolBase,"HikariPool-2 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5f1d1c2c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value."
2026-05-02 13:28:46.799,WARN ,[],[],com.zaxxer.hikari.pool.PoolBase,"HikariPool-2 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2ea42e2f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value."
2026-05-02 13:45:25.166,WARN ,[],[],com.zaxxer.hikari.pool.PoolBase,"HikariPool-2 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@71028bc6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value."
2026-05-02 13:45:27.007,INFO ,[],[],o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin,"Application shutdown requested."
2026-05-02 13:45:27.013,INFO ,[],[],o.s.boot.tomcat.GracefulShutdown,"Commencing graceful shutdown. Waiting for active requests to complete"
2026-05-02 13:45:27.034,INFO ,[],[],o.s.boot.tomcat.GracefulShutdown,"Graceful shutdown complete"
2026-05-02 13:45:27.055,INFO ,[],[],o.s.o.j.LocalContainerEntityManagerFactoryBean,"Closing JPA EntityManagerFactory for persistence unit 'default'"
2026-05-02 13:45:27.059,INFO ,[],[],com.zaxxer.hikari.HikariDataSource,"HikariPool-2 - Shutdown initiated..."
2026-05-02 13:45:27.923,INFO ,[],[],com.zaxxer.hikari.HikariDataSource,"HikariPool-2 - Shutdown completed."
